Scenario,Year,Variable,Slope,P-val
1,2017,SM,0.0037274,<2e-16
2,2017,SM,0.0005014,0.19949
3,2017,SM,-0.0004203,0.253
4,2017,SM,0.0004525,0.2197
5,2017,SM,0.0032005,3.21E-14
6,2017,SM,0.001743,4.94E-06
1,2018,SM,-0.0036637,9.83E-09
2,2018,SM,-0.0033379,4.31E-09
3,2018,SM,-0.0010731,4.20E-02
4,2018,SM,-0.0012558,3.18E-02
5,2018,SM,0.0018199,0.000696
6,2018,SM,0.0006463,1.67E-01
1,2017,APAR,-2.5485,<2e-16
2,2017,APAR,-2.7394,<2e-16
3,2017,APAR,-1.4378,<2e-16
4,2017,APAR,-1.7054,<2e-16
5,2017,APAR,-0.4963,0.0561
6,2017,APAR,-0.8113,0.000215
1,2018,APAR,-3.5122,<2e-16
2,2018,APAR,-2.5047,<2e-16
3,2018,APAR,-1.5377,<2e-16
4,2018,APAR,-2.2054,<2e-16
5,2018,APAR,-2.5693,<2e-16
6,2018,APAR,-1.909,<2e-16
1,2017,VPD,33.7275,<2e-16
2,2017,VPD,18.2389,<2e-16
3,2017,VPD,7.6155,<2e-16
4,2017,VPD,16.1774,<2e-16
5,2017,VPD,16.1192,<2e-16
6,2017,VPD,11.3614,<2e-16
1,2018,VPD,24.6926,<2e-16
2,2018,VPD,12.8552,<2e-16
3,2018,VPD,6.7264,<2e-16
4,2018,VPD,15.6746,<2e-16
5,2018,VPD,14.5605,<2e-16
6,2018,VPD,8.9941,<2e-16
1,2017,GPP,0.15816,<2e-16
2,2017,GPP,0.09387,1.06E-14
3,2017,GPP,0.01466,0.1776
4,2017,GPP,0.03841,0.000487
5,2017,GPP,0.07252,4.67E-08
6,2017,GPP,0.03064,0.017642
1,2018,GPP,-0.14126,3.23E-08
2,2018,GPP,-0.21898,<2e-16
3,2018,GPP,-0.11938,2.99E-08
4,2018,GPP,-0.08886,0.000173
5,2018,GPP,-0.05332,2.20E-02
6,2018,GPP,-0.08223,3.51E-05